PID,차량번호,이전차량번호,차량명,세부 모델,색상,주행거리,최초등록일,홈페이지상태,경과일수(매입일기준),매입유형1,매입유형2,매입유형3,매입담당자,최종수정일,신차가,매입가,지점판매가,할인,할인적용가,예상매출이익,신차가대비,담당자명,RB상담수,E상담수,E URL,RB조회수,RB찜수,E조회수,E찜수,자사몰광고,E광고,지점
C26071600091,204구3266,169허6865,모하비 더 마스터,3.0 디젤 4WD 마스터즈,검정,133076,2022-07-07,판매중,25,위탁매입,위탁매입,NH농협캐피탈,유원일,2026-07-20,57000000,24510000.0,18500000,0,18500000,-5463637.0,32.0,권주용,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42406241,0,0,,,X,O,중앙특판지점
C26071600059,129더9039,129더9039,더 뉴카니발(KA4),7인승 가솔린 시그니처 그래비티,미색,31638,2025-02-07,판매중,25,현물,기타현물,개인매입,신민석,2026-08-07,52490000,36000000.0,41000000,0,41000000,4545454.0,78.0,이찬희,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42400580,10,0,,,O,O,동대구지점
C26071600064,234누6048,234누6048,아반떼(CN7),1.6 LPI 일반인용 스마트,진회색,40460,2022-03-28,판매중,25,현물,기타현물,개인매입,이동혁,2026-08-13,23600000,14500000.0,15900000,0,15900000,1272727.0,67.0,이순민,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42414172,8,0,,,O,O,일산지점
C26071410047,334머2277,334머2277,더 올뉴G80,가솔린 2.5 AWD 스포츠팩,흰색,47575,2023-07-13,계약중,25,선물,선물,현대캐피탈,박종만,2026-07-24,75740000,47034540.0,47500000,0,47500000,423145.0,63.0,최은선,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42473546,12,0,,,O,O,천안지점
C26071600011,294마6566,294마6566,더 뉴싼타페,디젤 2.2 2WD 프레스티지,,87897,2020-07-24,판매중,29,현물,기타현물,개인매입,김형훈,2026-08-04,36910000,17700000.0,20500000,0,20500000,2545454.0,56.0,서건희,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42399638,4,1,,,O,O,청라지점
C26071600007,213오5696,213오5696,티구안(2세대),2.0 TDI 프레스티지,흰색,25536,2021-11-16,판매중,29,현물,기타현물,개인매입,문준영,2026-08-10,40057000,29500000.0,36000000,0,36000000,5909090.0,90.0,강승원,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42392175,4,0,,,O,O,김포지점
C26071600056,163러4534,163러4534,베뉴,1.6 가솔린 플럭스,진회색,23904,2024-12-20,판매중,29,현물,기타현물,개인매입,남궁곤,2026-07-16,24730000,18000000.0,21900000,0,21900000,3545454.0,89.0,오지희,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42407435,10,1,,,O,O,서울지점
C26071410006,340모8791,124호6370,더 뉴그랜저IG,가솔린 2.5 프리미엄,,83670,2022-09-15,판매중,29,선물,선물,현대캐피탈,박종만,2026-07-30,36350000,18247700.0,19200000,0,19200000,865727.0,53.0,신경식,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42504882,6,0,,,O,O,광주지점
C26071410027,340모8766,204호2000,뉴 G80,가솔린 3.5 AWD 기본형,흰색,32474,2024-11-25,판매중,29,선물,선물,현대캐피탈,박종만,2026-07-28,84650000,54613350.0,55500000,0,55500000,806045.0,66.0,김병훈,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42472997,16,1,,,O,O,동대구지점
C26071310025,340모8765,141하8516,더 뉴싼타페 하이브리드,1.6 HEV AWD 프레스티지,흰색,79504,2022-07-12,판매중,29,선물,선물,현대캐피탈,박종만,2026-07-24,44900000,24066400.0,29000000,0,29000000,4485090.0,65.0,강승원,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42500339,5,0,,,O,O,김포지점
